BU,Year,Month,ProdGroup,RepCust,MonthGrade,QtyGrade,NetUPriceGrade
RSBU,2022,4,1,八禾廣州,5,4,1
RSBU,2022,4,1,三木化工,4,3,1
RSBU,2022,4,1,三本南雄,6,4,4
RSBU,2022,4,1,久大惠州,6,4,4
RSBU,2022,4,1,中石油華東,5,1,1
RSBU,2022,4,1,中海油廣東,7,2,1
RSBU,2022,4,1,巴斯夫廣州,3,3,1
RSBU,2022,4,1,百川高明,5,4,1
RSBU,2022,4,1,艾倫塔斯珠海,4,4,1
RSBU,2022,4,1,佛山勵誠,1,3,1
RSBU,2022,4,1,宏勵佛山,6,1,4
RSBU,2022,4,1,彤德韶關,4,3,1
RSBU,2022,4,1,邦騰中山,1,1,1
RSBU,2022,4,1,和順昌鶴山,7,4,1
RSBU,2022,4,1,固德爾惠州,1,1,1
RSBU,2022,4,1,東洋珠海,1,2,1
RSBU,2022,4,1,長川惠州,4,4,1
RSBU,2022,4,1,長先珠海,6,4,4
RSBU,2022,4,1,長河江門,6,4,4
RSBU,2022,4,1,長潤發大亞灣,2,3,1
RSBU,2022,4,1,長興材料珠海,1,4,1
RSBU,2022,4,1,長興珠海,1,1,1
RSBU,2022,4,1,長龍惠州,2,2,1
RSBU,2022,4,1,信音廣州,6,3,4
RSBU,2022,4,1,冠盛三水,6,2,4
RSBU,2022,4,1,南星清遠,5,3,1
RSBU,2022,4,1,威聯達廣州,3,1,1
RSBU,2022,4,1,春達福建,6,2,4
RSBU,2022,4,1,星和肇慶,6,4,4
RSBU,2022,4,1,科大南雄,6,4,4
RSBU,2022,4,1,科田中山,6,3,4
RSBU,2022,4,1,科田南雄,1,3,1
RSBU,2022,4,1,科思創佛山,1,2,1
RSBU,2022,4,1,英格利江門,5,3,1
RSBU,2022,4,1,迪愛生中山,4,4,1
RSBU,2022,4,1,飛揚深圳,5,3,1
RSBU,2022,4,1,首邦高明,5,2,1
RSBU,2022,4,1,埃克森上海,6,1,4
RSBU,2022,4,1,展辰珠海,1,2,1
RSBU,2022,4,1,珠江化工,1,3,1
RSBU,2022,4,1,國化佛山,3,1,3
RSBU,2022,4,1,國精江門,1,3,1
RSBU,2022,4,1,國精順德,6,3,4
RSBU,2022,4,1,晨寶佛山,1,1,1
RSBU,2022,4,1,竣成東莞,2,3,1
RSBU,2022,4,1,華潤順德,1,2,1
RSBU,2022,4,1,開達化工,5,1,1
RSBU,2022,4,1,隆南江西,1,3,1
RSBU,2022,4,1,雄星塑料,3,1,1
RSBU,2022,4,1,匯泉廣東,6,3,4
RSBU,2022,4,1,瑞晟南雄,7,3,1
RSBU,2022,4,1,裕盛肇慶,6,3,4
RSBU,2022,4,1,裕盛廣州,6,4,4
RSBU,2022,4,1,道基佛山,2,2,1
RSBU,2022,4,1,嘉寶莉江門,1,2,1
RSBU,2022,4,1,福田肇慶,1,1,1
RSBU,2022,4,1,德望江門,6,4,4
