BU,Year,Month,ProdGroup,RepCust,MonthGrade,QtyGrade,NetUPriceGrade
RSBU,2022,5,PA,八禾廣州,E,D,A
RSBU,2022,5,PA,三木化工,D,C,A
RSBU,2022,5,PA,三本南雄,F,D,NULL
RSBU,2022,5,PA,久大惠州,F,D,NULL
RSBU,2022,5,PA,中石油華東,E,A,A
RSBU,2022,5,PA,中海油廣東,G,B,A
RSBU,2022,5,PA,巴斯夫廣州,C,C,A
RSBU,2022,5,PA,百川高明,E,D,A
RSBU,2022,5,PA,艾倫塔斯珠海,D,D,A
RSBU,2022,5,PA,佛山勵誠,A,C,A
RSBU,2022,5,PA,宏勵佛山,F,A,NULL
RSBU,2022,5,PA,彤德韶關,E,C,A
RSBU,2022,5,PA,邦騰中山,A,A,A
RSBU,2022,5,PA,和順昌鶴山,G,D,A
RSBU,2022,5,PA,固德爾惠州,A,A,A
RSBU,2022,5,PA,東洋珠海,A,B,A
RSBU,2022,5,PA,長川惠州,D,D,A
RSBU,2022,5,PA,長先珠海,F,D,NULL
RSBU,2022,5,PA,長河江門,F,D,NULL
RSBU,2022,5,PA,長潤發大亞灣,B,C,A
RSBU,2022,5,PA,長興材料珠海,A,D,A
RSBU,2022,5,PA,長興珠海,A,A,A
RSBU,2022,5,PA,長龍惠州,B,B,A
RSBU,2022,5,PA,信音廣州,F,C,NULL
RSBU,2022,5,PA,冠盛三水,F,B,NULL
RSBU,2022,5,PA,南星清遠,F,C,NULL
RSBU,2022,5,PA,威聯達廣州,C,B,A
RSBU,2022,5,PA,春達福建,F,B,NULL
RSBU,2022,5,PA,星和肇慶,F,D,NULL
RSBU,2022,5,PA,科大南雄,F,D,NULL
RSBU,2022,5,PA,科田中山,F,C,NULL
RSBU,2022,5,PA,科田南雄,A,C,A
RSBU,2022,5,PA,科思創佛山,A,C,A
RSBU,2022,5,PA,英格利江門,E,D,B
RSBU,2022,5,PA,迪愛生中山,D,D,A
RSBU,2022,5,PA,飛揚深圳,F,C,NULL
RSBU,2022,5,PA,首邦高明,E,C,A
RSBU,2022,5,PA,埃克森上海,F,A,NULL
RSBU,2022,5,PA,展辰珠海,A,B,A
RSBU,2022,5,PA,珠江化工,A,C,A
RSBU,2022,5,PA,國化佛山,C,A,C
RSBU,2022,5,PA,國精江門,A,C,C
RSBU,2022,5,PA,國精順德,F,C,NULL
RSBU,2022,5,PA,晨寶佛山,A,A,A
RSBU,2022,5,PA,竣成東莞,C,C,A
RSBU,2022,5,PA,華潤順德,A,B,A
RSBU,2022,5,PA,開達化工,E,B,A
RSBU,2022,5,PA,隆南江西,A,C,A
RSBU,2022,5,PA,雄星塑料,D,A,A
RSBU,2022,5,PA,匯泉廣東,F,C,NULL
RSBU,2022,5,PA,瑞晟南雄,G,C,A
RSBU,2022,5,PA,裕盛廣州,F,D,NULL
RSBU,2022,5,PA,道基佛山,C,B,A
RSBU,2022,5,PA,嘉寶莉江門,A,B,A
RSBU,2022,5,PA,福田肇慶,A,A,A
RSBU,2022,5,PA,德望江門,F,D,NULL
RSBU,2022,5,PA,輝瑞順德,F,D,NULL
RSBU,2022,5,PA,鴻遠佛山,A,C,A
RSBU,2022,5,PA,藍德堡佛山,D,D,A
RSBU,2022,5,PA,鑫雙利惠州,A,A,A
RSBU,2022,5,PZ,一二三深圳,E,D,C
RSBU,2022,5,PZ,一洋佛山,E,D,C
RSBU,2022,5,PZ,一德惠州,F,D,NULL
RSBU,2022,5,PZ,力亞東莞,F,D,NULL
RSBU,2022,5,PZ,力美東莞,F,D,NULL
RSBU,2022,5,PZ,三力得佛山,F,D,NULL
RSBU,2022,5,PZ,三明揭陽,A,C,A
RSBU,2022,5,PZ,三強佛山,D,C,A
RSBU,2022,5,PZ,三勝厚街,D,D,A
RSBU,2022,5,PZ,三湘中山,F,D,NULL
RSBU,2022,5,PZ,三豐深圳,F,C,NULL
RSBU,2022,5,PZ,上海瑞疆,F,C,NULL
RSBU,2022,5,PZ,久吾東莞,F,C,NULL
RSBU,2022,5,PZ,久發中山,E,D,A
RSBU,2022,5,PZ,大成揭陽,F,D,NULL
RSBU,2022,5,PZ,大囷中山,D,D,A
RSBU,2022,5,PZ,大洋東莞,F,D,NULL
RSBU,2022,5,PZ,大洋惠州,B,C,A
RSBU,2022,5,PZ,大通東莞,A,B,C
RSBU,2022,5,PZ,大新深圳,F,D,NULL
RSBU,2022,5,PZ,大穎南海,E,D,A
RSBU,2022,5,PZ,大豐江門,A,A,A
RSBU,2022,5,PZ,川塑東莞,F,C,NULL
RSBU,2022,5,PZ,中山東峻,F,D,NULL
RSBU,2022,5,PZ,中利東莞,D,C,A
RSBU,2022,5,PZ,中茂惠州,F,D,NULL
RSBU,2022,5,PZ,中誠翁源,B,B,C
RSBU,2022,5,PZ,中誠揭陽,D,B,D
RSBU,2022,5,PZ,中誠集團,F,C,NULL
RSBU,2022,5,PZ,中廣核中山,C,C,A
RSBU,2022,5,PZ,中廣核太倉,F,C,NULL
RSBU,2022,5,PZ,之江杭州,C,D,A
RSBU,2022,5,PZ,五洲江門,F,D,NULL
RSBU,2022,5,PZ,仁博東莞,F,C,NULL
RSBU,2022,5,PZ,仁興康廈門,E,D,A
RSBU,2022,5,PZ,今佳佛山,E,D,A
RSBU,2022,5,PZ,元塑惠州,G,D,A
RSBU,2022,5,PZ,友誼福建,A,C,A
RSBU,2022,5,PZ,友豐揭陽,F,C,NULL
RSBU,2022,5,PZ,天心廣西,E,D,A
RSBU,2022,5,PZ,天安佛山,A,A,A
RSBU,2022,5,PZ,天成珠海,F,D,NULL
RSBU,2022,5,PZ,天進佛山,B,A,A
RSBU,2022,5,PZ,天順深圳,F,C,NULL
RSBU,2022,5,PZ,文通東莞,F,C,NULL
RSBU,2022,5,PZ,日興中山,F,D,NULL
RSBU,2022,5,PZ,世勝中山,D,D,A
RSBU,2022,5,PZ,世譽深圳,E,D,A
RSBU,2022,5,PZ,兄奕東莞,E,D,A
RSBU,2022,5,PZ,功業東莞,B,C,A
RSBU,2022,5,PZ,卡樂爾佛山,F,D,NULL
RSBU,2022,5,PZ,可利江門,B,C,A
RSBU,2022,5,PZ,弘益南海,F,D,NULL
RSBU,2022,5,PZ,必達香港,E,C,B
RSBU,2022,5,PZ,正冠中山,E,D,A
RSBU,2022,5,PZ,正奧廣州,E,D,A
RSBU,2022,5,PZ,正興深圳,E,D,A
RSBU,2022,5,PZ,永博汕頭,E,C,A
RSBU,2022,5,PZ,永進廣州,A,B,C
RSBU,2022,5,PZ,永業中山,F,D,NULL
RSBU,2022,5,PZ,永銳中山,F,D,NULL
RSBU,2022,5,PZ,永銳鶴山,A,C,A
RSBU,2022,5,PZ,永鑫隆中山,F,D,NULL
RSBU,2022,5,PZ,玉蘭廣東,A,C,A
RSBU,2022,5,PZ,立騰東莞,E,C,B
RSBU,2022,5,PZ,光鉅廣東,F,D,NULL
RSBU,2022,5,PZ,光耀塑料,A,C,A
RSBU,2022,5,PZ,兆陽東莞,F,D,NULL
RSBU,2022,5,PZ,全豐汕頭,F,C,NULL
RSBU,2022,5,PZ,全豐廣東,A,B,A
RSBU,2022,5,PZ,再生資源中山,E,D,A
RSBU,2022,5,PZ,再騰花都,F,C,NULL
RSBU,2022,5,PZ,吉昂厚街,F,D,NULL
RSBU,2022,5,PZ,吉威東莞,E,D,B
RSBU,2022,5,PZ,吉洪深圳,F,D,NULL
RSBU,2022,5,PZ,同川東莞,B,C,A
RSBU,2022,5,PZ,同方廣東,E,D,A
RSBU,2022,5,PZ,同晟深圳,D,D,C
RSBU,2022,5,PZ,名江廣州,F,D,NULL
RSBU,2022,5,PZ,合和興東莞,G,D,A
RSBU,2022,5,PZ,合富惠州,F,C,NULL
RSBU,2022,5,PZ,地球珠海,D,D,A
RSBU,2022,5,PZ,多多茂名,F,B,NULL
RSBU,2022,5,PZ,多美圖東莞,D,D,A
RSBU,2022,5,PZ,多耀東莞,E,D,A
RSBU,2022,5,PZ,好時佳惠州,F,D,NULL
RSBU,2022,5,PZ,宇冠惠州,F,D,NULL
RSBU,2022,5,PZ,安和順德,F,C,NULL
RSBU,2022,5,PZ,成天泰深圳,A,C,A
RSBU,2022,5,PZ,旭佳揭陽,D,C,A
RSBU,2022,5,PZ,旭森中山,G,C,B
RSBU,2022,5,PZ,旭發廣東,A,C,A
RSBU,2022,5,PZ,有芳東莞,B,C,A
RSBU,2022,5,PZ,江西傑泰,G,C,A
RSBU,2022,5,PZ,江威佛山,A,B,A
RSBU,2022,5,PZ,江森惠州,E,D,A
RSBU,2022,5,PZ,百合佛山,F,C,NULL
RSBU,2022,5,PZ,百信香港,A,A,A
RSBU,2022,5,PZ,百順利博羅,E,D,A
RSBU,2022,5,PZ,百順硅東莞,F,C,NULL
RSBU,2022,5,PZ,百禮東莞,G,D,A
RSBU,2022,5,PZ,羽鋒東莞,F,D,NULL
RSBU,2022,5,PZ,艾思奇東莞,A,C,A
RSBU,2022,5,PZ,伯樂廣州,F,D,NULL
RSBU,2022,5,PZ,利恆通深圳,D,D,A
RSBU,2022,5,PZ,君鑫泉州,G,C,A
RSBU,2022,5,PZ,宏久中山,E,D,A
RSBU,2022,5,PZ,宏立中山,D,D,A
RSBU,2022,5,PZ,宏利清遠,A,A,C
RSBU,2022,5,PZ,宏亞泉州,F,D,NULL
RSBU,2022,5,PZ,宏昱東莞,A,B,A
RSBU,2022,5,PZ,宏望吉安,G,C,B
RSBU,2022,5,PZ,宏達中山,A,C,A
RSBU,2022,5,PZ,宏達廣州,E,D,A
RSBU,2022,5,PZ,宏聯中山,A,C,A
RSBU,2022,5,PZ,志豪信清遠,A,A,A
RSBU,2022,5,PZ,技創東莞,F,D,NULL
RSBU,2022,5,PZ,技塑東莞,D,D,A
RSBU,2022,5,PZ,育展東莞,F,D,NULL
RSBU,2022,5,PZ,良晟東莞,E,D,A
RSBU,2022,5,PZ,良嘉東莞,E,D,A
RSBU,2022,5,PZ,貝恩廣州,A,B,D
RSBU,2022,5,PZ,貝斯特惠州,A,C,A
RSBU,2022,5,PZ,足美佳廣東,G,C,A
RSBU,2022,5,PZ,足美揭陽,C,B,A
RSBU,2022,5,PZ,足爾斯揭陽,H,C,A
RSBU,2022,5,PZ,足樂揭陽,F,A,NULL
RSBU,2022,5,PZ,辰源江門,G,C,A
RSBU,2022,5,PZ,亞冠東莞,E,D,A
RSBU,2022,5,PZ,依芙科佛山,A,C,A
RSBU,2022,5,PZ,依瑞科柳州,F,D,NULL
RSBU,2022,5,PZ,佳普虎門,B,C,A
RSBU,2022,5,PZ,來事達廣東,F,D,NULL
RSBU,2022,5,PZ,協成東莞,F,D,NULL
RSBU,2022,5,PZ,和昌肇慶,A,D,A
RSBU,2022,5,PZ,和興東莞,D,C,C
RSBU,2022,5,PZ,和豐翁源,B,B,C
RSBU,2022,5,PZ,坤元虎門,G,D,B
RSBU,2022,5,PZ,坤威東莞,C,C,A
RSBU,2022,5,PZ,岳豐石碣,B,C,A
RSBU,2022,5,PZ,怡德佛山,F,D,NULL
RSBU,2022,5,PZ,昌浩東莞,D,D,A
RSBU,2022,5,PZ,昂塑深圳,F,D,NULL
RSBU,2022,5,PZ,明凱東莞,A,B,A
RSBU,2022,5,PZ,明創業順德,F,C,NULL
RSBU,2022,5,PZ,明達廈門,E,D,A
RSBU,2022,5,PZ,明德香港,F,D,NULL
RSBU,2022,5,PZ,明濤南海,A,B,A
RSBU,2022,5,PZ,明寶東莞,G,C,B
RSBU,2022,5,PZ,朋健江門,C,C,A
RSBU,2022,5,PZ,東太平洋深圳,D,D,A
RSBU,2022,5,PZ,東方雨虹洋浦,G,C,A
RSBU,2022,5,PZ,東方雨虹惠州,B,C,A
RSBU,2022,5,PZ,東方雨虹廣州,G,C,A
RSBU,2022,5,PZ,東欣石岩,D,C,A
RSBU,2022,5,PZ,東菱中山,D,C,A
RSBU,2022,5,PZ,東誠東莞,F,C,NULL
RSBU,2022,5,PZ,東鵬吳川,F,C,NULL
RSBU,2022,5,PZ,東贏茂名,F,C,NULL
RSBU,2022,5,PZ,林艮深圳,B,D,A
RSBU,2022,5,PZ,杰泰深圳,A,C,A
RSBU,2022,5,PZ,松普,D,D,A
RSBU,2022,5,PZ,欣辰東莞,B,C,A
RSBU,2022,5,PZ,河北永樂,F,C,NULL
RSBU,2022,5,PZ,泓業東莞,F,D,NULL
RSBU,2022,5,PZ,虎塑東莞,D,C,B
RSBU,2022,5,PZ,金一江西,F,D,NULL
RSBU,2022,5,PZ,金太源,A,C,A
RSBU,2022,5,PZ,金宏昌泉州,G,C,A
RSBU,2022,5,PZ,金波羅東莞,E,D,C
RSBU,2022,5,PZ,金禹桂林,B,C,A
RSBU,2022,5,PZ,金發廣州,H,B,A
RSBU,2022,5,PZ,金順來深圳,F,D,NULL
RSBU,2022,5,PZ,金塑桂林,E,D,A
RSBU,2022,5,PZ,金源三水,D,D,A
RSBU,2022,5,PZ,金滔東莞,E,C,A
RSBU,2022,5,PZ,金維桂林,E,D,A
RSBU,2022,5,PZ,金億清遠,A,B,A
RSBU,2022,5,PZ,金毅東莞,F,C,NULL
RSBU,2022,5,PZ,金毅廣東,F,D,NULL
RSBU,2022,5,PZ,金環宇深圳,A,C,A
RSBU,2022,5,PZ,長江塑料,A,C,A
RSBU,2022,5,PZ,長河江門,F,D,NULL
RSBU,2022,5,PZ,長青林東莞,A,C,A
RSBU,2022,5,PZ,長鹿順德,F,D,NULL
RSBU,2022,5,PZ,長豐三水,A,C,A
RSBU,2022,5,PZ,青龍廣西,F,D,NULL
RSBU,2022,5,PZ,信奕東莞,F,D,NULL
RSBU,2022,5,PZ,信誠台山,D,D,A
RSBU,2022,5,PZ,信興榮惠州,G,D,B
RSBU,2022,5,PZ,保山中山,C,B,A
RSBU,2022,5,PZ,俊翔清遠,F,C,NULL
RSBU,2022,5,PZ,冠志深圳,B,D,A
RSBU,2022,5,PZ,冠發惠州,E,D,B
RSBU,2022,5,PZ,冠銘深圳,F,C,NULL
RSBU,2022,5,PZ,冠銘廣東,D,D,A
RSBU,2022,5,PZ,冠億中山,E,D,A
RSBU,2022,5,PZ,南亞塑膠,A,C,A
RSBU,2022,5,PZ,南璋惠州,G,C,A
RSBU,2022,5,PZ,品豐吳川,D,B,A
RSBU,2022,5,PZ,威仕達高明,A,A,C
RSBU,2022,5,PZ,威明佛山,A,A,A
RSBU,2022,5,PZ,威詩柏鶴山,E,D,B
RSBU,2022,5,PZ,威聯達廣州,F,B,NULL
RSBU,2022,5,PZ,帝源深圳,A,C,A
RSBU,2022,5,PZ,思俊清遠,E,D,B
RSBU,2022,5,PZ,思迪嘉揭陽,A,B,A
RSBU,2022,5,PZ,思嘉福建,A,A,A
RSBU,2022,5,PZ,恆方大深圳,A,B,A
RSBU,2022,5,PZ,恆宏東莞,F,D,NULL
RSBU,2022,5,PZ,恆都香港,D,D,A
RSBU,2022,5,PZ,星豪中山,A,C,A
RSBU,2022,5,PZ,柏拉圖番禺,A,A,A
RSBU,2022,5,PZ,柏興廣東,F,A,NULL
RSBU,2022,5,PZ,泉興東莞,F,C,NULL
RSBU,2022,5,PZ,洋鑫湖南,F,D,NULL
RSBU,2022,5,PZ,洪氏廈門,D,D,A
RSBU,2022,5,PZ,盈達常平,E,D,C
RSBU,2022,5,PZ,秋葉原深圳,A,C,A
RSBU,2022,5,PZ,紅星清遠,F,C,NULL
RSBU,2022,5,PZ,美林東莞,D,D,C
RSBU,2022,5,PZ,美信達江門,E,D,A
RSBU,2022,5,PZ,美哲東莞,A,A,A
RSBU,2022,5,PZ,美涂士,D,D,A
RSBU,2022,5,PZ,美誠東莞,D,C,A
RSBU,2022,5,PZ,耐迪廣東,F,D,NULL
RSBU,2022,5,PZ,英泰格瑞深圳,E,D,B
RSBU,2022,5,PZ,虹致天津,F,D,NULL
RSBU,2022,5,PZ,迪華佛山,A,C,A
RSBU,2022,5,PZ,迪滔廣州,D,C,A
RSBU,2022,5,PZ,迪標東莞,F,C,NULL
RSBU,2022,5,PZ,飛粵廣州,E,D,B
RSBU,2022,5,PZ,飛龍塑膠,E,C,A
RSBU,2022,5,PZ,飛鷺福建,G,D,A
RSBU,2022,5,PZ,香楓深圳,G,D,A
RSBU,2022,5,PZ,恒興吳川,D,C,A
RSBU,2022,5,PZ,原朋東莞,E,D,B
RSBU,2022,5,PZ,姬妍揭陽,D,C,A
RSBU,2022,5,PZ,展辰珠海,A,D,A
RSBU,2022,5,PZ,晉迎佛山,A,C,A
RSBU,2022,5,PZ,泰宇中山,A,C,A
RSBU,2022,5,PZ,海斗深圳,F,D,NULL
RSBU,2022,5,PZ,海特惠州,G,D,B
RSBU,2022,5,PZ,海特寶安,B,D,C
RSBU,2022,5,PZ,海盛東莞,D,D,A
RSBU,2022,5,PZ,海諾惠州,A,B,A
RSBU,2022,5,PZ,珠江電纜,A,B,A
RSBU,2022,5,PZ,秦力東莞,F,D,NULL
RSBU,2022,5,PZ,高士廣州,H,C,A
RSBU,2022,5,PZ,高捷佛山,F,D,NULL
RSBU,2022,5,PZ,高德廣州,B,C,A
RSBU,2022,5,PZ,偉成惠州,C,C,A
RSBU,2022,5,PZ,偉海江門,F,D,NULL
RSBU,2022,5,PZ,偉康惠州,D,C,A
RSBU,2022,5,PZ,偉森東莞,A,D,A
RSBU,2022,5,PZ,偉新惠江西,F,D,NULL
RSBU,2022,5,PZ,凰塑南海,C,C,A
RSBU,2022,5,PZ,唯爾佛山,A,C,A
RSBU,2022,5,PZ,國英汕頭,A,C,A
RSBU,2022,5,PZ,國博高明,F,D,NULL
RSBU,2022,5,PZ,國語三水,D,C,A
RSBU,2022,5,PZ,康達中山,A,C,A
RSBU,2022,5,PZ,彩軒東莞,F,C,NULL
RSBU,2022,5,PZ,彩詩三水,A,C,A
RSBU,2022,5,PZ,悠悠東莞,A,B,A
RSBU,2022,5,PZ,啟科三水,A,B,A
RSBU,2022,5,PZ,啟益東莞,E,D,A
RSBU,2022,5,PZ,啟豪東莞,A,C,A
RSBU,2022,5,PZ,晨潤廣州,E,D,A
RSBU,2022,5,PZ,晨輝中山,A,B,A
RSBU,2022,5,PZ,深圳昊昌,B,C,A
RSBU,2022,5,PZ,盛業汕頭,A,B,C
RSBU,2022,5,PZ,眾邦揭陽,C,C,C
RSBU,2022,5,PZ,眾軒東莞,G,D,A
RSBU,2022,5,PZ,祥利科技,D,C,A
RSBU,2022,5,PZ,陶駿高明,F,C,NULL
RSBU,2022,5,PZ,頂立虎門,A,D,A
RSBU,2022,5,PZ,麥度佛山,C,C,A
RSBU,2022,5,PZ,凱碧惠州,A,C,A
RSBU,2022,5,PZ,創豐汕頭,B,C,A
RSBU,2022,5,PZ,勝宇廣東,A,B,A
RSBU,2022,5,PZ,博順惠州,F,B,NULL
RSBU,2022,5,PZ,喬博特深圳,F,C,NULL
RSBU,2022,5,PZ,富順深圳,F,D,NULL
RSBU,2022,5,PZ,富順寶安,G,C,C
RSBU,2022,5,PZ,惠勝深圳,D,C,A
RSBU,2022,5,PZ,普秀順德,F,D,NULL
RSBU,2022,5,PZ,普賽達廣東,H,A,A
RSBU,2022,5,PZ,景宏清遠,F,D,NULL
RSBU,2022,5,PZ,景裕東莞,A,C,A
RSBU,2022,5,PZ,智遠揭陽,F,B,NULL
RSBU,2022,5,PZ,港光廈門,D,D,A
RSBU,2022,5,PZ,湖北回天,F,D,NULL
RSBU,2022,5,PZ,湖南神谷,F,C,NULL
RSBU,2022,5,PZ,琪豐中山,F,C,NULL
